,Target,Source,Volume
0,AGE,BLEEDING,0.0031786179304180598
1,AGE,CAREGIVER-REPORTED QUALITY OF LIFE,0.012082450586947057
2,AGE,CEREBRAL PALSY TYPE,0.0007751069543341289
3,AGE,COMFORT AND EMOTIONS,0.0002955368252725349
4,AGE,COMMUNICATION AND SOCIAL INTERACTION,0.00017423823467778082
5,AGE,CONSTIPATION,0.04011996690568119
6,AGE,GENDER,0.025121190095750704
7,AGE,HOSPITALIZATION AND CAREGIVER-REPORTED HEALTH,0.050335831399324966
8,AGE,MEDICATION,8.581278415462083e-05
9,AGE,MOVEMENT ABILITY,0.0097420332175247
10,AGE,PERSONAL CARE,0.012876801872109876
11,AGE,"POSITIONING, TRANSFERRING, AND MOBILITY",0.0010821548874584497
12,AGE,QOLS,0.007825631273938071
13,BLEEDING,AGE,0.0031786179304180598
14,BLEEDING,CAREGIVER-REPORTED QUALITY OF LIFE,0.16846076322397074
15,BLEEDING,CEREBRAL PALSY TYPE,0.013317561980642276
16,BLEEDING,COMFORT AND EMOTIONS,0.4928573621133012
17,BLEEDING,COMMUNICATION AND SOCIAL INTERACTION,0.32312399779682743
18,BLEEDING,CONSTIPATION,0.4096293843415278
19,BLEEDING,GENDER,0.0405887678577931
20,BLEEDING,HOSPITALIZATION AND CAREGIVER-REPORTED HEALTH,0.3556976868558911
21,BLEEDING,MEDICATION,0.11605059730604095
22,BLEEDING,MOVEMENT ABILITY,0.3701537966188811
23,BLEEDING,PERSONAL CARE,0.24542058643631662
24,BLEEDING,"POSITIONING, TRANSFERRING, AND MOBILITY",0.2916489121001282
25,BLEEDING,QOLS,0.45317036207734374
26,CAREGIVER-REPORTED QUALITY OF LIFE,AGE,0.012082450586947057
27,CAREGIVER-REPORTED QUALITY OF LIFE,BLEEDING,0.16846076322397074
28,CAREGIVER-REPORTED QUALITY OF LIFE,CEREBRAL PALSY TYPE,0.0026499577597997427
29,CAREGIVER-REPORTED QUALITY OF LIFE,COMFORT AND EMOTIONS,0.30960005298943777
30,CAREGIVER-REPORTED QUALITY OF LIFE,COMMUNICATION AND SOCIAL INTERACTION,0.1414159254838392
31,CAREGIVER-REPORTED QUALITY OF LIFE,CONSTIPATION,0.13073995371583416
32,CAREGIVER-REPORTED QUALITY OF LIFE,GENDER,0.035300753651227174
33,CAREGIVER-REPORTED QUALITY OF LIFE,HOSPITALIZATION AND CAREGIVER-REPORTED HEALTH,0.2276222699165447
34,CAREGIVER-REPORTED QUALITY OF LIFE,MEDICATION,0.04774316874292297
35,CAREGIVER-REPORTED QUALITY OF LIFE,MOVEMENT ABILITY,0.22353570429549396
36,CAREGIVER-REPORTED QUALITY OF LIFE,PERSONAL CARE,0.14924264917567587
37,CAREGIVER-REPORTED QUALITY OF LIFE,"POSITIONING, TRANSFERRING, AND MOBILITY",0.1332430647552014
38,CAREGIVER-REPORTED QUALITY OF LIFE,QOLS,0.37483961943712446
39,CEREBRAL PALSY TYPE,AGE,0.0007751069543341289
40,CEREBRAL PALSY TYPE,BLEEDING,0.013317561980642276
41,CEREBRAL PALSY TYPE,CAREGIVER-REPORTED QUALITY OF LIFE,0.0026499577597997427
42,CEREBRAL PALSY TYPE,COMFORT AND EMOTIONS,0.011201336098942196
43,CEREBRAL PALSY TYPE,COMMUNICATION AND SOCIAL INTERACTION,0.016055968021157264
